Id de contacto,Encuesta: Id.,Codigo de Cliente,Estado,Localidad,Edad,Sexo,Habla lengua indigena?,Temporalidad de Ingresos,Tiene cuenta bancaria?,Credito Activo?,Apoyo Programas,Remesas,Actividad Economica Principal,Tiene Cultivo,Tipo de cultivo,Parcelas Terreno,Animales,Numero vacas,Numero puercos borregos,Numero aves otros,Cuartos en la Casa,Material de Vivienda,Cuenta con Luz Electrica,Fuente de Iluminacion,Gasto Fuente de Iluminacion,Donde se consigue fuente de iluminacion,Aparatos que comprara con luz,Proveniencia agua para beber,Acceso transporte,Nombre de la cuenta
0031600002bydav,a0s1600000EiupG,20-002-0071-009,Oaxaca,La Cotorra,27,Masculino,SI,Temporal,NO,NO,PROSPERA,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Television;Refrigerador;Licuadora,La hierven,,Huautla ILUCentro
0031600002bydvt,a0s1600000Eiv0Q,20-002-0007-010,Oaxaca,Ca–ada San Antonio,31,Masculino,SI,Temporal,NO,NO,Ninguno,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Le–a / Ocote,350,,Television;Radio;Refrigerador;Ventilador,De un pozo o manantial (sin hervir),,Huautla ILUCentro
0031600002byddB,a0s1600000Eiupu,20-171-0077-053,Oaxaca,San Mart’n Caballero,46,Masculino,SI,Temporal,NO,NO,PROSPERA,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Le–a / Ocote,200,,Television;Ventilador;Licuadora,La hierven,,Huautla ILUCentro
0031600002bydvo,a0s1600000Eiv0L,20-002-0007-009,Oaxaca,Ca–ada San Antonio,36,Masculino,NO,Temporal,NO,NO,Ninguno,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Le–a / Ocote,280,,Television;Radio;Refrigerador,De un pozo o manantial (sin hervir),,Huautla ILUCentro
0031600002dCzjB,a0s1600000EjYfl,20-002-0013-005,Oaxaca,Cosolapa Sarmiento,50,Masculino,NO,Temporal,NO,NO,PROSPERA,No,Trabajo por temporada,Menos de 1 hect‡rea,"Mitad frutales, mitad granos",Propiedad familiar,Aves u otros,,,,2 cuartos,Tabique y loza de cemento,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Television;Radio;Licuadora,La hierven,Publico,Huautla ILUCentro
0031600002dCzJw,a0s1600000EjYex,20-002-0026-002,Oaxaca,Ojo de Agua o Palma Cuata,48,Femenino,SI,Temporal,NO,NO,PROSPERA,No,Trabajo por temporada,Entre 1 y 2 hect‡reas,"Mitad frutales, mitad granos",Propiedad familiar,Aves u otros,,,,2 cuartos,Madera y techo de l‡mina,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Television;Radio;Licuadora,La hierven,No tiene,Huautla ILUCentro
0031600002dCxU8,a0s1600000EjYUX,20-002-0033-005,Oaxaca,Tembladera del Castillo,37,Masculino,SI,Temporal,NO,NO,PROSPERA,No,Trabajo por temporada,Menos de 1 hect‡rea,"Mitad frutales, mitad granos",Propiedad familiar,Aves u otros,,,,2 cuartos,Madera y techo de l‡mina,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Television;Refrigerador;Licuadora,La hierven,Publico,Huautla ILUCentro
0031600002bydeT,a0s1600000EiuqJ,20-171-0008-003,Oaxaca,Ca–ada de Mamey,58,Masculino,SI,Temporal,NO,NO,ProCampo,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Le–a / Ocote,350,,Television;Radio;Refrigerador,De un pozo o manantial (sin hervir),,Huautla ILUCentro
0031600002bydve,a0s1600000Eiv0B,20-002-0077-007,Oaxaca,Las Flores,63,Femenino,NO,Temporal,NO,SI,PROSPERA,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Le–a / Ocote,350,,Television;Radio;Refrigerador;Ventilador;Licuadora,De un pozo o manantial (sin hervir),,Huautla ILUCentro
0031600002bvsdP,a0s1600000Ehzpv,20-171-0007-037,Oaxaca,Altamira,55,Femenino,SI,Constante,NO,NO,PROSPERA,No,,,,,,,,,,,NO,Velas; Diesel (Candil); Pila / Bater’a / Acumulador,200,,Television;Refrigerador;Licuadora,La hierven,,Huautla ILUCentro
